Image link,Tier,Name,ATT,DEF,SPD,DEX,VIT,WIS,HP,MP,XP Bonus,Feed Power
https://i.imgur.com/xFAergr.png,ST,Astronomer’s Gown,+7,+15,,,,,,,6%,850
https://i.imgur.com/XoFFZfe.png,ST,A.R.M.O.R.,+5,+12,+5,,+10,,,,6%,900
https://i.imgur.com/nk4E21t.png,ST,Wings of Sanctity,,+10,,+5,+5,+5,,+50,6%,"1,000"
https://i.imgur.com/ooAeV17.png,UT,Robe of the Summer Solstice,+4,+13,,,,+6,,+55,5%,435
https://i.imgur.com/2JLdqmf.png,UT,Frost Elementalist Robe,+4,+13,,,,+6,,+55,6%,435
https://i.imgur.com/bqkRaTK.png,UT,Apron of Conjuring,+4,+13,,,,+11,,+55,6%,435
https://i.imgur.com/pN8dFEE.png,UT,Carrotroot Vestments,+5,+15,,,,+7,+30,+65,6%,435
https://i.imgur.com/7LbTaFQ.png,UT,Holy Order’s Habit,,+12,,,+5,+10,,+80,6%,600
https://i.imgur.com/d9wLZNJ.png,UT,Red Riding Dress,,+8,,+9,+8,,,+60,6%,600
https://i.imgur.com/2OyfAMH.png,UT,Robe of Dark Summoning,+4,+13,,,,+6,+20,+55,7%,231
https://i.imgur.com/MFv2kG0.png,UT,Wanderer’s Cape,+4,+13,,,,+6,,+55,7%,435
https://i.imgur.com/aWEJBj5.png,UT,Magic Construction Vest,+4,+13,,,+4,+6,,+55,7%,435
https://i.imgur.com/PVFbVo8.png,UT,Insightful Mourning Robe,+5,+15,,,,+7,,+65,7%,650
https://i.imgur.com/w203GMi.png,UT,Leaf Woven Robe,+5,+15,,,,+7,,+65,7%,650
https://i.imgur.com/fh6tQnM.png,UT,Aspirant’s Robes,+4,+11,,,,+6,+20,+55,7%,900
https://i.imgur.com/wXvnwMr.png,UT,Mantle of the Monarchy (Rehearsal),,+10,,,+20,,+40,+40,7%,900
https://i.imgur.com/oRsVwqV.png,ST,Chocolate Glazed Robe,,+20,,-5,+4,,,,5%,900
https://i.imgur.com/q9txEI0.png,ST,Legacy Robe of Twilight,,+12,+3,+3,,,+10,+5,6%,500
https://i.imgur.com/EQKeIS1.png,ST,Robe of the Enchantress,,+15,,,,,+60,,6%,700
https://i.imgur.com/uB5QQ6k.png,ST,Executioner’s Garb,+10,+13,,-4,+4,,,+35,6%,750
https://i.imgur.com/Z5UChsd.png,ST,Devilish Robes,,+12,,+6,,+6,+30,-50,6%,800
https://i.imgur.com/Bv61PoS.png,ST,Garb of the Ordained,+4,+13,,+3,-3,+2,,+20,6%,800
https://i.imgur.com/tK861Gj.png,ST,Phosphorescent Rags,,+8,+8,,,,+55,,6%,800
https://i.imgur.com/lCVCwok.png,ST,Immortal Mantle,,+10,+3,,,,+60,+50,6%,850
https://i.imgur.com/FemO9Ut.png,ST,Lacerated Gown,+5,+12,+5,,+10,,,,6%,900
https://i.imgur.com/GF7bwkT.png,ST,Wings of the Fallen,,+10,,+5,+5,+5,,+50,6%,"1,000"
