Image link,Enchantment Name,Eligible Items,Effect(s) I / II / III / IV,Enchantment Labels,Incompatible Labels
//i.imgur.com/G653TKh.png,Vitality To Life Bonus,ALL,+55/70/85/100 % HP of Bonus VIT,SINGLESTAT LIFE CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Wisdom To Life Bonus,ALL,+55/70/85/100 % HP of Bonus WIS,SINGLESTAT LIFE CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Attack To Speed Bonus,ALL,+7%/10%/13%/16% SPD of Bonus ATT,SINGLESTAT SPEED CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Defense To Speed Bonus,ALL,+7%/10%/13%/16% SPD of Bonus DEF,SINGLESTAT SPEED CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Dexterity To Speed Bonus,ALL,+7%/10%/13%/16% SPD of Bonus DEX,SINGLESTAT SPEED CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Mana To Speed Bonus,ALL,+.75%/1%/1.25%/1.5% SPD of Bonus MP,SINGLESTAT SPEED CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Life To Speed Bonus,ALL,+.75%/1%/1.25%/1.5% % SPD of Bonus HP,SINGLESTAT SPEED CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Vitality To Speed Bonus,ALL,+7%/10%/13%/16% SPD of Bonus VIT,SINGLESTAT SPEED CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Wisdom To Speed Bonus,ALL,+7%/10%/13%/16% SPD of Bonus WIS,SINGLESTAT SPEED CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Attack To Vitality Bonus,ALL,+7%/10%/13%/16% VIT of Bonus ATT,SINGLESTAT VITALITY CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Defense To Vitality Bonus,ALL,+7%/10%/13%/16% VIT of Bonus DEF,SINGLESTAT VITALITY CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Dexterity To Vitality Bonus,ALL,+7%/10%/13%/16% VIT of Bonus DEX,SINGLESTAT VITALITY CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Mana To Vitality Bonus,ALL,+.75%/1%/1.25%/1.5% VIT of Bonus MP,SINGLESTAT VITALITY CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Life To Vitality Bonus,ALL,+.75%/1%/1.25%/1.5% VIT of Bonus HP,SINGLESTAT VITALITY CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Speed To Vitality Bonus,ALL,+7%/10%/13%/16% VIT of Bonus SPD,SINGLESTAT VITALITY CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Wisdom To Vitality Bonus,ALL,+7%/10%/13%/16% VIT of Bonus WIS,SINGLESTAT VITALITY CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Attack To Wisdom Bonus,ALL,+7%/10%/13%/16% WIS of Bonus ATT,SINGLESTAT WISDOM CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Defense To Wisdom Bonus,ALL,+6%/8%/10%/12% WIS of Bonus DEF,SINGLESTAT WISDOM CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Dexterity To Wisdom Bonus,ALL,+7%/10%/13%/16% WIS of Bonus DEX,SINGLESTAT WISDOM CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Mana To Wisdom Bonus,ALL,+.75%/1%/1.25%/1.5% WIS of Bonus MP,SINGLESTAT WISDOM CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Life To Wisdom Bonus,ALL,+.75%/1%/1.25%/1.5% WIS of Bonus HP,SINGLESTAT WISDOM CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Speed To Wisdom Bonus,ALL,+7%/10%/13%/16% WIS of Bonus SPD,SINGLESTAT WISDOM CONVERSIONBONUS,SINGLESTAT
//i.imgur.com/G653TKh.png,Vitality To Wisdom Bonus,ALL,+7%/10%/13%/16% WIS of Bonus VIT,SINGLESTAT WISDOM CONVERSIONBONUS,SINGLESTAT
